,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,0,0,0,False,0,0,0,0,0.0,0
1,0,1,0,1,6,False,0,0,0,0,0.0,0
2,0,1,0,7,4,False,7,15,0,3840,19.2,722078
3,0,1,0,4,7,False,0,0,63,63,0.315,0
4,0,1,0,4,2,False,163,4,11,1035,5.175,0
5,0,1,0,4,10,False,16,0,240,240,1.2,0
6,0,1,0,6,1,False,96,4,11,1035,5.175,50
7,0,1,0,4,11,False,96,2,84,596,2.98,0
8,0,1,0,5,4,False,12,0,2,2,0.01,185
9,0,1,0,6,11,False,110,0,67,67,0.335,65439
10,0,1,0,4,11,False,211,0,150,150,0.75,0
11,0,1,0,4,12,False,16,1,13,269,1.345,0
12,0,1,0,4,11,False,78,0,208,208,1.04,0
13,0,1,0,1,25,False,0,0,0,0,0.0,0
14,0,1,0,4,12,False,78,0,70,70,0.35,0
15,0,1,0,2,15,False,4,0,0,0,0.0,0
16,0,1,0,4,11,False,144,1,16,272,1.36,0
17,0,1,0,4,4,False,11,2,42,554,2.77,0
18,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
19,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
20,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
21,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
22,0,1,1,7,6,False,213,5,5,1285,6.425,6292996
23,0,1,0,4,29,True,176,2,135,647,3.235,0
24,0,1,29,6,6,False,0,4,134,1158,5.79,15702
25,0,1,0,4,4,False,156,12,3,3075,15.375,0
26,0,1,30,0,0,False,0,0,0,0,0.0,0
27,0,1,2,5,6,False,6,11,4,2820,14.1,16
28,0,1,0,4,29,True,94,6,103,1639,8.195,0
29,0,1,23,2,0,False,186,0,0,0,0.0,0
30,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
31,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
32,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
33,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
34,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
35,0,1,0,4,0,False,98,4,31,1055,5.275,0
36,0,1,0,4,8,True,57,1,92,348,1.74,0
37,0,1,11,5,61,False,61,4,9,1033,5.165,4
38,0,1,0,4,7,False,155,0,68,68,0.34,0
39,0,1,1,2,24,True,156,0,0,0,0.0,0
40,0,1,0,4,11,False,113,3,145,913,4.565,0
41,0,1,18,5,1,False,166,11,152,2968,14.84,4
42,0,1,0,4,11,False,162,0,211,211,1.055,0
43,0,1,0,4,11,False,151,0,182,182,0.91,0
44,0,1,0,4,11,False,248,1,20,276,1.38,0
45,0,1,25,5,4,False,12,7,0,1792,8.96,255
46,0,1,0,4,11,False,217,0,172,172,0.86,0
47,0,1,12,2,4,False,14,0,0,0,0.0,0
48,0,1,0,4,11,False,122,2,243,755,3.775,0
49,0,1,19,4,0,False,140,8,6,2054,10.27,0
50,0,1,0,4,11,False,21,1,171,427,2.135,0
51,0,1,31,5,61,True,2,10,69,2629,13.145,4
52,0,1,0,4,11,False,135,2,238,750,3.75,0
53,0,1,0,1,45,False,0,0,0,0,0.0,0
54,0,1,0,4,12,False,242,4,5,1029,5.145,0
55,0,1,0,4,9,False,4,11,4,2820,14.1,0
56,0,1,0,4,11,False,135,0,137,137,0.685,0
57,0,1,1,4,4,False,4,14,17,3601,18.005,0
58,0,1,0,4,11,False,202,1,199,455,2.275,0
59,0,1,0,2,63,True,5,0,0,0,0.0,0
60,0,1,0,4,11,False,79,0,93,93,0.465,0
61,0,1,4,1,1,False,0,0,0,0,0.0,0
62,0,1,0,4,11,False,229,0,93,93,0.465,0
63,0,1,0,4,63,False,95,3,4,772,3.86,0
64,0,1,0,4,11,False,75,0,95,95,0.475,0
65,0,1,2,1,19,False,0,0,0,0,0.0,0
66,0,1,0,4,12,False,202,0,109,109,0.545,0
67,0,1,19,4,0,False,93,4,14,1038,5.19,0
68,0,1,0,4,11,False,39,0,72,72,0.36,0
69,0,1,9,3,8,True,0,4,0,1024,5.12,0
70,0,1,0,4,11,False,162,1,98,354,1.77,0
71,0,1,2,4,57,True,141,0,76,76,0.38,0
72,0,1,0,4,11,False,25,0,77,77,0.385,0
73,0,1,24,5,4,False,21,0,1,1,0.005,175
74,0,1,0,4,11,False,6,1,153,409,2.045,0
75,0,1,0,4,22,False,91,2,92,604,3.02,0
76,0,1,0,4,13,False,185,3,23,791,3.955,0
77,0,1,0,4,24,False,97,1,84,340,1.7,0
78,0,1,0,4,14,False,119,3,166,934,4.67,0
79,0,1,0,4,25,False,98,0,28,28,0.14,0
80,0,1,0,4,15,False,95,1,213,469,2.345,0
81,0,1,20,0,0,False,0,0,0,0,0.0,0
82,0,1,0,4,16,False,97,0,229,229,1.145,0
83,0,1,2,0,0,False,0,0,0,0,0.0,0
84,0,1,0,4,17,False,75,10,119,2679,13.395,0
85,0,1,0,4,6,True,135,3,1,769,3.845,0
86,0,1,0,4,18,False,155,0,86,86,0.43,0
87,0,1,15,6,5,False,4,12,191,3263,16.315,1028
88,0,1,0,4,19,False,97,1,0,256,1.28,0
89,0,1,0,4,29,True,201,6,48,1584,7.92,0
90,0,1,0,4,21,False,98,1,27,283,1.415,0
91,0,1,2,4,61,False,61,13,61,3389,16.945,0
92,0,1,0,4,27,True,4,12,4,3076,15.38,0
93,0,1,2,6,31,False,2,9,242,2546,12.73,14344
94,0,1,0,4,24,False,155,0,80,80,0.4,0
95,0,1,14,1,15,False,0,0,0,0,0.0,0
96,0,1,0,4,6,True,97,0,175,175,0.875,0
97,0,1,0,4,20,False,103,0,61,61,0.305,0
98,0,1,0,4,8,True,6,2,196,708,3.54,0
99,0,1,0,4,12,False,31,0,74,74,0.37,0
100,0,1,1,6,7,True,4,10,4,2564,12.82,1041
101,0,1,0,4,11,False,139,0,214,214,1.07,0
102,0,1,2,4,31,False,1,8,74,2122,10.61,0
103,0,1,0,4,11,False,136,3,20,788,3.94,0
104,0,1,0,4,16,False,79,0,226,226,1.13,0
105,0,1,0,4,11,False,237,0,167,167,0.835,0
106,0,1,0,0,0,False,0,0,0,0,0.0,0
107,0,1,0,4,11,False,86,1,185,441,2.205,0
108,0,1,1,3,24,False,0,3,0,768,3.84,0
109,0,1,0,4,12,False,90,0,152,152,0.76,0
110,0,1,0,4,47,True,136,1,4,260,1.3,0
111,0,1,0,4,11,False,127,1,40,296,1.48,0
112,0,1,1,3,28,False,4,1,0,256,1.28,0
113,0,1,0,4,11,False,155,2,64,576,2.88,0
114,0,1,11,2,2,False,11,0,0,0,0.0,0
115,0,1,0,4,12,False,128,1,154,410,2.05,0
116,0,1,16,6,0,False,210,4,14,1038,5.19,32896
117,0,1,0,4,13,False,134,1,133,389,1.945,0
118,0,1,0,1,38,True,0,0,0,0,0.0,0
119,0,1,0,4,14,False,128,5,12,1292,6.46,0
120,0,1,0,4,17,False,134,0,4,4,0.02,0
121,0,1,0,4,15,False,95,0,11,11,0.055,0
122,0,1,9,6,4,False,21,10,0,2560,12.8,34436
123,0,1,0,4,17,False,128,7,211,2003,10.015,0
124,0,1,0,0,0,False,0,0,0,0,0.0,0
125,0,1,0,4,22,False,144,0,200,200,1.0,0
126,0,1,23,1,1,False,0,0,0,0,0.0,0
127,0,1,0,4,8,True,155,11,243,3059,15.295,0
128,0,1,27,1,4,False,0,0,0,0,0.0,0
129,0,1,0,4,29,True,134,1,45,301,1.505,0
