,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,0,4,13,False,56,0,221,221,1.105,0
1,0,1,0,4,11,False,56,0,238,238,1.19,0
2,0,1,0,4,16,False,57,0,85,85,0.425,0
3,0,1,0,4,14,False,58,0,185,185,0.925,0
4,0,1,0,4,17,False,56,0,166,166,0.83,0
5,0,1,0,4,15,False,57,0,93,93,0.465,0
6,0,1,0,4,18,False,57,0,74,74,0.37,0
7,0,1,0,4,17,False,131,2,5,517,2.585,0
8,0,1,0,4,19,False,56,0,194,194,0.97,0
9,0,1,0,4,20,False,144,3,240,1008,5.04,0
10,0,1,0,4,6,True,56,0,67,67,0.335,0
11,0,1,0,4,22,False,145,0,148,148,0.74,0
12,0,1,0,4,13,False,17,0,79,79,0.395,0
13,0,1,0,4,25,False,57,0,71,71,0.355,0
14,0,1,0,4,28,True,56,0,175,175,0.875,0
15,0,1,2,1,13,False,0,0,0,0,0.0,0
16,0,1,0,4,29,True,17,1,23,279,1.395,0
17,0,1,19,0,0,False,0,0,0,0,0.0,0
18,0,1,0,4,17,False,77,11,0,2816,14.08,0
19,0,1,25,1,4,False,0,0,0,0,0.0,0
20,0,1,0,4,22,False,172,0,57,57,0.285,0
21,0,1,19,4,57,False,0,5,4,1284,6.42,0
22,0,1,0,4,5,True,56,0,217,217,1.085,0
23,0,1,2,0,0,False,0,0,0,0,0.0,0
24,0,1,0,4,1,False,61,0,0,0,0.0,17432576
25,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
26,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
27,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
28,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
29,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
30,0,1,0,4,20,False,221,0,65,65,0.325,0
31,0,1,2,4,30,True,0,9,4,2308,11.54,0
32,0,1,0,4,13,False,22,0,120,120,0.6,0
33,0,1,0,4,29,True,221,1,208,464,2.32,0
34,0,1,0,4,29,True,22,0,102,102,0.51,0
35,0,1,1,6,4,False,4,11,23,2839,14.195,1024
36,0,1,0,7,24,False,0,4,17,1041,5.205,2687374
37,0,1,0,4,13,False,120,0,72,72,0.36,0
38,0,1,14,2,4,False,14,0,0,0,0.0,0
39,0,1,0,4,13,False,250,1,32,288,1.44,0
40,0,1,0,4,17,False,8,4,18,1042,5.21,0
41,0,1,0,4,16,False,0,0,155,155,0.775,0
42,0,1,2,7,0,False,255,4,0,1024,5.12,1835451
43,0,1,0,4,13,False,133,0,125,125,0.625,0
44,0,1,0,4,61,False,61,4,14,1038,5.19,0
45,0,1,0,4,17,False,250,0,97,97,0.485,0
46,0,1,0,4,1,False,127,1,35,291,1.455,0
47,0,1,0,4,19,False,251,0,59,59,0.295,0
48,0,1,0,4,1,False,60,4,12,1036,5.18,0
49,0,1,0,4,6,True,0,0,119,119,0.595,0
50,0,1,0,4,0,False,4,6,134,1670,8.35,0
51,0,1,0,4,13,False,244,0,87,87,0.435,0
52,0,1,0,0,0,False,0,0,0,0,0.0,0
53,0,1,0,4,16,False,244,0,54,54,0.27,0
54,0,1,0,0,0,False,0,0,0,0,0.0,0
55,0,1,0,4,6,True,244,0,36,36,0.18,0
56,0,1,9,3,4,False,20,14,0,3584,17.92,0
57,0,1,0,4,28,True,250,0,78,78,0.39,0
58,0,1,0,0,0,False,0,0,0,0,0.0,0
59,0,1,0,4,29,True,244,1,236,492,2.46,0
60,0,1,26,0,0,False,0,0,0,0,0.0,0
61,0,1,0,4,35,True,129,4,167,1191,5.955,0
62,0,1,0,4,5,True,244,1,206,462,2.31,0
63,0,1,0,4,6,True,249,2,226,738,3.69,0
64,0,1,17,6,16,False,4,6,90,1626,8.13,15620
65,0,1,0,4,13,False,89,0,91,91,0.455,0
66,0,1,0,4,28,True,244,5,64,1344,6.72,0
67,0,1,0,4,29,True,89,0,72,72,0.36,0
68,0,1,30,4,4,False,11,5,0,1280,6.4,0
69,0,1,8,4,4,False,17,4,0,1024,5.12,0
70,0,1,23,3,41,True,69,4,0,1024,5.12,0
71,0,1,2,4,19,False,1,9,233,2537,12.685,0
72,0,1,0,4,4,False,22,9,0,2304,11.52,0
73,0,1,9,1,4,False,0,0,0,0,0.0,0
74,0,1,1,4,0,False,56,3,4,772,3.86,0
75,0,1,16,5,20,False,0,15,1,3841,19.205,83
76,0,1,0,4,6,True,89,0,128,128,0.64,0
77,0,1,0,1,25,True,0,0,0,0,0.0,0
78,0,1,0,4,28,True,89,0,151,151,0.755,0
79,0,1,0,4,15,False,83,1,134,390,1.95,0
80,0,1,0,4,29,True,96,6,178,1714,8.57,0
81,0,1,10,3,61,False,61,13,0,3328,16.64,0
82,0,1,0,4,4,False,14,4,20,1044,5.22,0
83,0,1,26,5,1,False,49,15,0,3840,19.2,96
84,0,1,3,7,34,False,1,10,61,2621,13.105,3871748
85,0,1,13,2,61,False,61,0,0,0,0.0,0
86,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
87,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
88,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
89,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
90,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
91,0,1,0,1,35,False,0,0,0,0,0.0,0
92,0,1,0,4,29,True,237,0,87,87,0.435,0
93,0,1,0,4,29,True,120,0,7,7,0.035,0
94,0,1,0,4,13,False,172,0,78,78,0.39,0
95,0,1,10,2,44,True,0,0,0,0,0.0,0
96,0,1,0,4,29,True,172,0,60,60,0.3,0
97,0,1,20,1,4,False,0,0,0,0,0.0,0
98,0,1,2,4,18,False,7,10,4,2564,12.82,0
99,0,1,2,0,0,False,0,0,0,0,0.0,0
100,0,1,26,6,0,False,33,4,134,1158,5.79,177
101,0,1,3,5,4,False,236,0,57,57,0.285,4
102,0,1,0,4,17,False,232,0,57,57,0.285,0
103,0,1,16,6,61,False,61,13,61,3389,16.945,15677
104,0,1,0,4,20,False,149,0,94,94,0.47,0
105,0,1,0,4,4,False,17,4,0,1024,5.12,0
106,0,1,12,0,0,False,0,0,0,0,0.0,0
107,0,1,2,0,0,False,0,0,0,0,0.0,0
108,0,1,0,4,22,False,149,0,65,65,0.325,0
109,0,1,20,6,0,False,145,4,134,1158,5.79,1173
110,0,1,0,4,6,True,149,0,43,43,0.215,0
111,0,1,1,6,21,True,0,13,4,3332,16.66,38278
112,0,1,0,4,28,True,164,1,54,310,1.55,0
113,0,1,0,4,17,False,61,0,72,72,0.36,0
114,0,1,5,1,4,False,0,0,0,0,0.0,0
115,0,1,0,4,20,False,71,0,132,132,0.66,0
116,0,1,2,4,61,False,0,0,70,70,0.35,0
