readout	order	layer	ChipID	payload	location	isCol	timestamp	tot_msb	tot_lsb	tot_total	tot_us	fpga_ts
0	577	1	0	4	10	False	173	5	226	1506	15.06	0
0	578	1	0	4	11	False	218	5	117	1397	13.97	0
0	579	1	0	4	14	False	88	11	63	2879	28.79	0
0	580	1	0	4	13	True	218	11	33	2849	28.49	0
0	581	1	0	4	14	True	218	5	17	1297	12.97	0
0	582	1	0	4	15	True	218	1	18	274	2.74	0
0	583	1	0	4	16	True	218	0	189	189	1.89	0
0	584	1	0	4	17	True	218	11	15	2831	28.31	0
0	585	1	0	4	18	True	218	8	126	2174	21.74	0
0	586	1	0	4	19	True	216	4	108	1132	11.32	0
0	587	1	0	4	20	True	218	6	246	1782	17.82	0
0	588	1	0	4	21	True	218	8	138	2186	21.86	0
0	589	1	0	4	22	True	218	8	7	2055	20.55	0
0	590	1	0	4	24	True	218	5	212	1492	14.92	0
0	591	1	0	4	25	True	218	7	190	1982	19.82	0
0	592	1	0	4	26	True	173	4	122	1146	11.46	0
0	593	1	0	4	27	True	218	9	234	2538	25.38	0
0	594	1	0	4	28	True	218	15	216	4056	40.56	0
0	595	1	0	4	29	True	101	13	227	3555	35.55	0
0	596	1	0	4	30	True	218	4	10	1034	10.34	0
0	597	1	0	4	31	True	218	8	22	2070	20.7	0
0	598	1	0	4	32	True	218	5	160	1440	14.4	0
0	599	1	0	4	33	True	218	5	151	1431	14.31	0
0	600	1	0	4	13	False	238	5	72	1352	13.52	0
0	601	1	0	4	34	True	218	6	66	1602	16.02	0
0	602	1	0	4	14	True	238	5	52	1332	13.32	0
0	603	1	0	4	18	False	255	4	190	1214	12.14	0
0	604	1	0	4	7	False	126	4	133	1157	11.57	0
0	605	1	31	7	4	False	170	4	8	1032	10.32	14092798
0	606	1	0	4	7	False	254	5	110	1390	13.9	0
0	607	1	0	4	9	False	254	1	224	480	4.8	0
0	608	1	0	4	10	False	254	12	246	3318	33.18	0
0	609	1	0	4	11	False	254	10	243	2803	28.03	0
0	610	1	0	4	14	False	254	3	105	873	8.73	0
0	611	1	0	4	13	True	254	3	82	850	8.5	0
0	612	1	0	4	14	True	254	12	203	3275	32.75	0
0	613	1	0	4	15	True	254	1	203	459	4.59	0
0	614	1	0	4	17	True	254	12	167	3239	32.39	0
0	615	1	0	4	18	True	254	14	92	3676	36.76	0
0	616	1	0	4	19	True	254	12	43	3115	31.15	0
0	617	1	0	4	20	True	254	12	76	3148	31.48	0
0	618	1	0	4	21	True	254	11	37	2853	28.53	0
0	619	1	0	4	22	True	254	11	92	2908	29.08	0
0	620	1	0	4	24	True	254	8	217	2265	22.65	0
0	621	1	0	4	25	True	254	12	217	3289	32.89	0
0	622	1	0	4	26	True	254	14	79	3663	36.63	0
0	623	1	0	4	27	True	254	14	136	3720	37.2	0
0	624	1	0	4	28	True	254	14	148	3732	37.32	0
0	625	1	0	4	29	True	254	5	89	1369	13.69	0
0	626	1	0	4	30	True	254	9	50	2354	23.54	0
0	627	1	0	4	31	True	10	1	4	260	2.6	235806865
0	628	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	629	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	630	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	631	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	632	1	0	4	26	False	31	0	108	108	1.08	0
0	633	1	0	4	27	False	32	6	115	1651	16.51	0
0	634	1	0	4	16	True	31	6	107	1643	16.43	0
0	635	1	0	4	4	False	254	12	187	3259	32.59	0
0	636	1	0	4	9	True	254	12	166	3238	32.38	0
0	637	1	0	4	15	True	111	13	99	3427	34.27	0
0	638	1	0	4	11	False	235	7	119	1911	19.11	0
0	639	1	0	4	3	False	111	3	103	871	8.71	0
0	640	1	0	4	4	False	247	1	126	382	3.82	0
0	641	1	0	4	16	True	111	3	81	849	8.49	0
0	642	1	0	4	14	False	58	3	245	1013	10.13	0
0	643	1	0	4	13	True	235	3	216	984	9.84	0
0	644	1	0	4	14	True	247	2	108	620	6.2	0
0	645	1	0	4	15	True	235	1	155	411	4.11	0
0	646	1	0	4	17	True	235	11	250	3066	30.66	0
0	647	1	0	4	18	True	235	11	169	2985	29.85	0
