,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,0,4,7,False,134,0,86,86,0.43,0
1,0,1,0,4,13,False,153,1,148,404,2.02,0
2,0,1,0,4,13,False,134,0,216,216,1.08,0
3,0,1,0,4,14,False,134,0,99,99,0.495,0
4,0,1,0,4,9,False,134,1,71,327,1.635,0
5,0,1,0,4,15,False,134,0,79,79,0.395,0
6,0,1,0,4,4,False,15,6,1,1537,7.685,0
7,0,1,0,4,13,False,194,0,92,92,0.46,0
8,0,1,8,0,0,False,0,0,0,0,0.0,0
9,0,1,0,4,13,False,29,0,86,86,0.43,0
10,0,1,0,4,7,True,0,6,4,1540,7.7,0
11,0,1,0,4,13,False,195,0,117,117,0.585,0
12,0,1,1,5,4,False,15,14,0,3584,17.92,75
13,0,1,0,4,13,False,124,0,81,81,0.405,0
14,0,1,16,6,1,False,4,0,195,195,0.975,2
15,0,1,0,4,13,False,239,0,59,59,0.295,0
16,0,1,7,4,4,False,156,4,16,1040,5.2,0
17,0,1,0,4,16,False,134,0,186,186,0.93,0
18,0,1,17,2,3,True,3,0,0,0,0.0,0
19,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
20,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
21,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
22,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
23,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
