,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
1,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
2,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
3,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
4,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
5,0,1,2,4,10,False,11,1,71,327,1.635,0
6,0,1,2,4,10,True,11,1,56,312,1.56,0
7,0,1,2,4,10,False,124,0,152,152,0.76,0
8,0,1,2,4,10,True,124,1,31,287,1.435,0
9,0,1,2,4,10,False,7,1,36,292,1.46,0
10,0,1,2,4,10,True,7,1,21,277,1.385,0
11,0,1,2,4,10,False,119,0,192,192,0.96,0
12,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
