,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,1,4,5,False,89,4,10,1034,5.17,0
1,0,1,1,7,15,False,121,4,138,1162,5.81,69027
2,0,1,1,4,10,False,212,5,24,1304,6.52,0
3,0,1,1,4,10,False,27,9,19,2323,11.615,0
4,0,1,1,4,10,False,97,12,248,3320,16.6,0
5,0,1,1,4,10,False,172,15,186,4026,20.13,0
6,0,1,1,4,10,False,2,4,125,1149,5.745,0
7,0,1,1,4,10,False,2,9,234,2538,12.69,0
8,0,1,1,4,10,False,96,13,195,3523,17.615,0
9,0,1,1,2,32,False,13,0,0,0,0.0,0
10,0,1,1,3,4,False,10,12,0,3072,15.36,0
11,0,1,1,7,4,False,4,10,85,2645,13.225,290307
12,0,1,1,2,3,True,7,0,0,0,0.0,0
13,0,1,1,0,0,False,0,0,0,0,0.0,0
14,0,1,1,4,10,False,222,12,95,3167,15.835,0
15,0,1,1,4,10,False,14,0,199,199,0.995,0
16,0,1,1,4,10,False,84,4,157,1181,5.905,0
17,0,1,1,4,10,False,141,9,127,2431,12.155,0
18,0,1,1,4,10,False,246,13,25,3353,16.765,0
19,0,1,1,4,10,False,10,1,201,457,2.285,0
20,0,1,1,4,10,False,91,5,10,1290,6.45,0
21,0,1,1,4,10,False,193,4,27,1051,5.255,0
22,0,1,1,4,10,False,224,7,242,2034,10.17,0
23,0,1,1,4,10,False,84,3,43,811,4.055,0
24,0,1,1,4,10,False,84,8,156,2204,11.02,0
25,0,1,1,4,10,False,223,13,116,3444,17.22,0
26,0,1,1,4,10,True,223,1,105,361,1.805,0
27,0,1,1,4,10,False,223,7,207,1999,9.995,0
28,0,1,1,4,10,False,111,4,174,1198,5.99,0
29,0,1,1,4,10,False,202,4,95,1119,5.595,0
30,0,1,1,4,10,False,47,3,233,1001,5.005,0
31,0,1,1,4,10,False,128,3,97,865,4.325,0
32,0,1,1,4,10,False,187,8,61,2109,10.545,0
33,0,1,1,4,10,False,15,4,23,1047,5.235,0
34,0,1,1,4,10,False,65,8,56,2104,10.52,0
35,0,1,1,4,10,False,121,12,18,3090,15.45,0
36,0,1,1,4,10,False,205,2,182,694,3.47,0
37,0,1,1,4,10,False,19,5,241,1521,7.605,0
38,0,1,1,4,10,False,99,8,67,2115,10.575,0
39,0,1,1,4,10,False,165,12,222,3294,16.47,0
40,0,1,1,4,10,False,211,1,125,381,1.905,0
41,0,1,1,4,10,False,25,3,52,820,4.1,0
42,0,1,1,4,10,False,124,3,104,872,4.36,0
43,0,1,1,4,10,False,202,6,130,1666,8.33,0
44,0,1,1,4,10,True,202,5,25,1305,6.525,0
45,0,1,1,4,10,False,106,2,219,731,3.655,0
46,0,1,1,4,10,False,171,7,18,1810,9.05,0
47,0,1,1,4,10,False,224,3,145,913,4.565,0
48,0,1,1,4,10,False,13,8,138,2186,10.93,0
49,0,1,1,4,10,True,129,10,157,2717,13.585,0
50,0,1,1,4,10,False,178,5,85,1365,6.825,0
51,0,1,1,4,10,False,13,7,196,1988,9.94,0
52,0,1,1,4,10,False,73,10,228,2788,13.94,0
53,0,1,1,4,10,False,142,12,250,3322,16.61,0
54,0,1,1,4,10,False,213,1,69,325,1.625,0
55,0,1,1,4,10,False,26,2,186,698,3.49,0
56,0,1,1,4,10,False,26,6,21,1557,7.785,0
57,0,1,1,4,10,True,138,0,0,0,0.0,17301504
58,0,4,1,2,0,False,0,0,0,0,0.0,151650568
59,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
60,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
61,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
62,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
63,0,1,1,4,10,False,73,11,241,3057,15.285,0
64,0,1,1,4,10,False,181,2,72,584,2.92,0
65,0,1,1,4,10,False,245,5,163,1443,7.215,0
66,0,1,1,4,10,True,245,15,176,4016,20.08,0
67,0,1,1,4,10,False,76,0,136,136,0.68,0
68,0,1,1,4,10,False,154,4,3,1027,5.135,0
69,0,1,1,4,10,True,209,13,177,3505,17.525,0
70,0,1,1,4,10,False,51,10,123,2683,13.415,0
71,0,1,1,4,10,False,156,15,146,3986,19.93,0
72,0,1,1,4,10,True,163,12,207,3279,16.395,0
73,0,1,1,4,10,True,41,3,61,829,4.145,0
74,0,1,1,4,10,False,163,0,141,141,0.705,0
75,0,1,1,2,35,True,0,0,0,0,0.0,0
76,0,1,1,5,4,False,10,10,9,2569,12.845,2
77,0,1,1,4,10,False,43,13,249,3577,17.885,0
78,0,1,1,4,10,False,84,0,232,232,1.16,0
79,0,1,1,4,10,False,155,3,122,890,4.45,0
80,0,1,1,4,10,False,0,7,87,1879,9.395,0
81,0,1,1,4,10,False,38,11,130,2946,14.73,0
82,0,1,1,4,10,True,147,8,23,2071,10.355,0
83,0,1,1,4,10,False,147,6,98,1634,8.17,0
84,0,1,1,4,10,False,236,11,140,2956,14.78,0
85,0,1,1,4,10,False,87,0,85,85,0.425,0
86,0,1,1,4,10,False,119,3,223,991,4.955,0
87,0,1,1,4,10,False,238,3,184,952,4.76,0
88,0,1,1,4,10,False,41,6,246,1782,8.91,0
89,0,1,1,4,10,False,125,3,40,808,4.04,0
90,0,1,1,4,10,False,175,6,9,1545,7.725,0
91,0,1,1,4,10,False,241,8,222,2270,11.35,0
92,0,1,1,4,10,False,59,4,52,1076,5.38,0
93,0,1,1,4,10,False,128,2,56,568,2.84,0
94,0,1,1,4,10,False,209,6,112,1648,8.24,0
95,0,1,1,4,10,False,33,9,206,2510,12.55,0
96,0,1,1,4,10,False,100,13,112,3440,17.2,0
97,0,1,1,4,10,False,124,0,88,88,0.44,0
98,0,1,1,4,10,False,237,3,30,798,3.99,0
99,0,1,1,4,10,False,51,3,204,972,4.86,0
100,0,1,1,4,10,False,127,2,45,557,2.785,0
101,0,1,1,4,10,False,159,7,143,1935,9.675,0
102,0,1,1,4,10,False,8,11,155,2971,14.855,0
103,0,1,1,4,10,False,36,14,194,3778,18.89,0
104,0,1,1,4,10,False,99,3,182,950,4.75,0
105,0,1,1,4,10,False,219,3,177,945,4.725,0
