,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,4,3,4,False,10,8,0,2048,10.24,0
1,0,1,4,6,9,True,4,10,173,2733,13.665,39687
2,0,1,5,2,12,True,0,0,0,0,0.0,0
3,0,1,4,4,10,False,173,1,88,344,1.72,0
4,0,1,5,7,4,False,138,1,47,303,1.515,983300
5,0,1,4,4,10,True,173,7,202,1994,9.97,0
6,0,1,0,4,51,False,4,10,58,2618,13.09,0
7,0,1,4,4,10,False,104,0,152,152,0.76,0
8,0,1,5,2,18,True,44,0,0,0,0.0,0
9,0,1,4,4,10,True,104,0,135,135,0.675,0
10,0,1,1,2,33,False,0,0,0,0,0.0,0
11,0,1,4,4,10,False,20,2,129,641,3.205,0
12,0,1,1,2,44,False,138,0,0,0,0.0,0
13,0,1,4,4,10,False,123,5,222,1502,7.51,0
14,0,1,1,2,53,True,0,0,0,0,0.0,0
15,0,1,4,4,10,False,225,0,71,71,0.355,0
16,0,1,17,0,0,False,0,0,0,0,0.0,0
17,0,1,4,4,10,True,225,5,187,1467,7.335,0
18,0,1,0,4,44,False,104,4,44,1068,5.34,0
19,0,1,4,4,10,False,169,2,16,528,2.64,0
20,0,1,28,5,46,True,8,12,10,3082,15.41,110
21,0,1,4,4,10,False,19,0,69,69,0.345,0
22,0,1,5,4,10,True,114,0,164,164,0.82,0
23,0,1,4,4,10,False,109,1,175,431,2.155,0
24,0,1,1,2,10,False,44,0,0,0,0.0,0
25,0,1,4,4,10,False,21,1,24,280,1.4,0
26,0,1,1,2,52,False,1,0,0,0,0.0,0
27,0,1,4,4,10,True,21,10,97,2657,13.285,0
28,0,1,7,4,10,True,44,15,0,3840,19.2,0
29,0,1,4,4,10,False,70,0,123,123,0.615,0
30,0,1,5,4,1,False,106,12,44,3116,15.58,0
31,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
