,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,0,4,19,False,73,5,95,1375,6.875,0
1,0,1,0,4,6,True,127,1,163,419,2.095,0
2,0,1,0,4,10,True,231,13,158,3486,17.43,0
3,0,1,0,4,19,False,152,3,48,816,4.08,1536
4,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
5,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
6,0,1,0,4,19,False,44,2,98,610,3.05,0
7,0,1,0,4,19,False,210,4,4,1028,5.14,0
8,0,1,0,4,19,False,251,0,0,0,0.0,0
9,0,1,0,4,19,False,149,1,109,365,1.825,0
10,0,1,0,4,19,False,168,3,88,856,4.28,0
11,0,1,0,4,19,False,171,0,150,150,0.75,0
12,0,1,0,4,19,False,50,4,174,1198,5.99,0
13,0,1,0,4,19,False,50,0,0,0,0.0,0
14,0,1,0,4,19,False,254,1,39,295,1.475,0
15,0,1,0,4,19,False,15,13,197,3525,17.625,0
16,0,1,0,4,19,False,89,2,85,597,2.985,0
17,0,1,0,4,10,True,203,2,80,592,2.96,0
18,0,1,0,4,16,True,164,7,223,2015,10.075,0
19,0,1,0,4,29,True,0,2,221,733,3.665,0
20,0,1,0,4,31,True,126,3,100,868,4.34,0
21,0,1,0,4,19,False,8,7,198,1990,9.95,0
22,0,1,0,4,19,False,108,2,36,548,2.74,0
23,0,1,0,4,29,True,0,8,138,2186,10.93,0
24,0,1,0,4,22,True,53,9,240,2544,12.72,0
25,0,1,0,4,31,True,126,5,143,1423,7.115,0
26,0,1,0,4,16,True,164,1,8,264,1.32,189
27,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
28,0,1,0,4,19,False,129,0,0,0,0.0,0
29,0,1,0,4,19,False,99,0,119,119,0.595,0
30,0,1,0,4,19,False,146,5,164,1444,7.22,0
31,0,1,0,4,19,False,227,1,77,333,1.665,0
32,0,1,0,4,19,False,250,4,124,1148,5.74,0
33,0,1,0,4,19,False,239,6,12,1548,7.74,0
34,0,1,0,4,6,True,74,9,186,2490,12.45,0
35,0,1,0,4,19,False,44,9,184,2488,12.44,0
36,0,1,0,4,19,False,44,0,0,0,0.0,0
37,0,1,0,4,19,False,62,0,203,203,1.015,0
38,0,1,0,4,19,False,19,11,209,3025,15.125,0
39,0,1,0,4,19,False,49,1,15,271,1.355,0
40,0,1,0,4,19,False,70,1,196,452,2.26,0
41,0,1,0,4,19,False,47,0,127,127,0.635,0
42,0,1,0,4,19,False,99,8,144,2192,10.96,0
43,0,1,0,4,19,False,123,1,79,335,1.675,0
44,0,1,0,4,19,False,246,12,207,3279,16.395,0
45,0,1,0,4,19,False,140,0,247,247,1.235,0
46,0,1,0,4,19,False,210,2,90,602,3.01,0
47,0,1,0,4,19,False,73,1,7,263,1.315,0
48,0,1,0,4,19,False,44,13,252,3580,17.9,0
49,0,1,0,4,19,False,181,0,175,175,0.875,0
50,0,1,0,4,6,True,2,3,74,842,4.21,0
51,0,1,0,4,6,True,2,13,65,3393,16.965,0
52,0,1,0,4,19,False,242,6,121,1657,8.285,0
53,0,1,0,4,19,False,56,0,194,194,0.97,0
54,0,1,0,4,6,True,2,3,60,828,4.14,0
55,0,1,0,4,19,False,83,1,45,301,1.505,0
56,0,1,0,4,6,True,2,10,2,2562,12.81,0
57,0,1,0,4,19,False,150,0,192,192,0.96,0
58,0,1,0,4,19,False,97,11,153,2969,14.845,0
59,0,1,0,4,6,True,2,2,86,598,2.99,0
60,0,1,0,4,10,True,204,3,123,891,4.455,0
61,0,1,0,4,16,True,164,8,224,2272,11.36,0
62,0,1,0,4,22,True,213,13,192,3520,17.6,0
63,0,1,0,4,29,True,0,10,71,2631,13.155,0
64,0,1,0,4,19,False,230,3,91,859,4.295,0
65,0,1,0,4,29,True,169,1,29,285,1.425,0
66,0,1,0,4,19,False,108,7,252,2044,10.22,0
67,0,1,0,4,19,False,17,0,60,60,0.3,0
68,0,1,0,4,19,False,215,14,67,3651,18.255,0
69,0,1,0,4,19,False,236,0,107,107,0.535,0
70,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
