,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,0,4,12,False,20,13,1,3329,33.29,0
1,0,1,0,4,7,False,156,6,138,1674,16.74,0
2,0,1,0,4,8,True,19,12,236,3308,33.08,0
3,0,1,0,4,0,False,61,11,98,2914,29.14,0
4,0,1,0,4,8,False,156,13,168,3496,34.96,0
5,0,1,0,4,16,False,159,4,30,1054,10.54,0
6,0,1,0,4,10,False,222,8,61,2109,21.09,0
7,0,1,0,4,11,False,221,6,143,1679,16.79,0
8,0,1,0,4,11,False,156,15,89,3929,39.29,0
9,0,1,0,4,17,False,158,4,172,1196,11.96,0
10,0,1,0,4,12,False,114,6,224,1760,17.6,0
11,0,1,0,4,21,False,64,10,208,2768,27.68,0
12,0,1,0,4,13,False,157,6,245,1781,17.81,0
13,0,1,0,4,10,False,1,4,4,1028,10.28,1037067
14,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
15,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
16,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
17,0,1,20,1,33,False,0,0,0,0,0.0,0
18,0,1,17,3,4,False,5,8,0,2048,20.48,0
19,0,1,0,3,47,True,15,4,0,1024,10.24,0
20,0,1,0,4,34,True,139,15,61,3901,39.01,0
21,0,1,0,4,33,False,4,8,116,2164,21.64,0
22,0,1,0,2,2,True,217,0,0,0,0.0,0
23,0,1,1,5,4,False,12,3,3,771,7.71,15
24,0,1,23,0,0,False,0,0,0,0,0.0,0
25,0,1,0,4,19,False,81,7,144,1936,19.36,0
26,0,1,0,4,3,True,217,13,166,3494,34.94,0
27,0,1,0,4,23,False,174,0,1,1,0.01,0
28,0,1,0,4,26,False,177,9,137,2441,24.41,0
29,0,1,0,4,27,False,45,1,2,258,2.58,0
30,0,1,0,4,28,False,144,1,187,443,4.43,0
31,0,1,0,4,29,False,8,12,249,3321,33.21,0
32,0,1,0,4,30,False,149,4,96,1120,11.2,0
33,0,1,0,4,31,False,145,0,119,119,1.19,0
34,0,1,0,4,33,False,131,9,134,2438,24.38,0
35,0,1,0,4,5,True,8,12,226,3298,32.98,0
36,0,1,0,4,6,True,81,7,126,1918,19.18,0
37,0,1,0,4,9,True,174,15,237,4077,40.77,0
38,0,1,0,4,10,True,200,12,247,3319,33.19,0
39,0,1,0,4,12,True,131,14,7,3591,35.91,0
40,0,1,0,4,13,True,131,12,175,3247,32.47,0
41,0,1,0,4,15,True,211,6,40,1576,15.76,0
42,0,1,0,4,16,True,211,11,192,3008,30.08,0
43,0,1,0,4,17,True,211,1,121,377,3.77,0
44,0,1,0,4,18,True,211,4,191,1215,12.15,0
45,0,1,0,4,19,True,177,1,158,414,4.14,0
46,0,1,0,4,20,True,149,7,99,1891,18.91,0
47,0,1,0,4,21,True,211,1,234,490,4.9,0
48,0,1,0,4,22,True,28,14,112,3696,36.96,0
49,0,1,0,4,23,True,211,0,169,169,1.69,0
50,0,1,0,4,24,True,144,5,127,1407,14.07,0
51,0,1,0,4,25,True,116,6,28,1564,15.64,0
