readout	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
8	26	27	171	171	6.34	6.54	6.4399999999999995
8	15	29	160	160	10.23	10.41	10.32
8	6	29	165	165	9.39	9.56	9.475000000000001
8	14	33	95	95	9.89	10.06	9.975000000000001
8	3	25	118	118	13.71	13.89	13.8
8	18	10	65	65	8.77	8.95	8.86
8	6	27	59	59	11.16	11.34	11.25
8	11	16	0	0	8.87	9.05	8.96
8	5	8	47	47	8.0	8.17	8.085
8	13	25	173	173	4.77	4.94	4.855
8	6	21	36	36	9.02	9.19	9.105
8	4	7	57	57	3.14	3.32	3.23
8	18	25	150	150	17.05	17.23	17.14
8	3	19	90	91	8.96	9.14	9.05
8	9	24	138	138	13.28	13.43	13.355
8	18	31	85	86	10.41	10.6	10.504999999999999
8	3	12	218	218	8.15	8.33	8.24
8	3	19	125	125	14.01	14.19	14.1
8	5	18	145	145	4.46	4.61	4.535
9	3	32	250	250	6.13	6.3	6.215
9	6	28	12	12	15.23	15.42	15.325
9	6	31	106	107	7.74	7.92	7.83
9	4	22	122	122	14.88	15.08	14.98
9	9	30	195	195	3.4	3.57	3.485
9	9	11	211	212	13.14	13.31	13.225000000000001
9	34	0	62	62	11.04	11.2	11.12
9	7	25	118	118	9.31	9.49	9.4
9	11	31	253	253	9.13	9.31	9.22
9	3	10	174	174	14.19	14.38	14.285
9	3	18	122	122	10.79	10.97	10.879999999999999
9	13	30	77	77	11.43	11.59	11.51
9	10	22	152	152	5.73	5.92	5.825
10	4	24	180	180	9.43	9.59	9.51
10	6	13	17	18	8.56	8.74	8.65
10	5	27	163	163	18.25	18.42	18.335
10	10	32	93	93	8.03	8.18	8.105
10	5	13	118	118	19.58	19.76	19.67
10	9	6	95	95	3.73	3.91	3.8200000000000003
10	10	5	91	91	11.25	11.41	11.33
10	3	15	139	139	13.39	13.58	13.485
10	25	19	68	68	7.89	8.06	7.975
10	4	13	69	69	7.6	7.79	7.695
10	23	28	233	233	5.39	5.6	5.494999999999999
10	15	8	206	206	6.77	6.96	6.865
10	5	30	72	72	13.09	13.24	13.165
10	5	15	14	14	12.38	12.55	12.465
10	23	26	81	80	14.73	14.94	14.835
10	12	10	217	217	10.48	10.67	10.575
11	6	28	55	55	23.06	23.25	23.155
11	11	33	160	161	11.73	11.89	11.81
11	5	33	10	10	6.69	6.84	6.765000000000001
11	7	31	143	143	5.37	5.55	5.46
11	7	24	145	146	9.14	9.31	9.225000000000001
11	10	9	30	30	12.36	12.55	12.455
11	15	15	190	190	10.76	10.92	10.84
11	11	4	190	190	12.5	12.67	12.585
11	27	27	117	117	5.31	5.48	5.395
11	25	8	49	50	15.25	15.43	15.34
11	11	13	21	21	6.87	7.06	6.965
11	26	18	197	197	2.74	2.91	2.825
11	6	25	191	191	8.69	8.86	8.774999999999999
11	9	24	75	75	9.05	9.22	9.135000000000002
11	3	30	225	225	12.15	12.33	12.24
11	31	24	249	249	11.76	11.93	11.844999999999999
11	8	32	83	83	14.43	14.59	14.51
11	4	19	24	24	3.66	3.84	3.75
11	19	22	29	29	5.25	5.45	5.35
12	3	27	155	155	11.66	11.85	11.754999999999999
12	10	27	180	180	5.85	6.03	5.9399999999999995
12	5	27	63	63	18.99	19.15	19.07
12	6	32	77	77	11.25	11.4	11.325
12	16	31	195	195	12.9	13.09	12.995000000000001
12	10	30	235	235	14.39	14.56	14.475000000000001
12	9	18	160	160	4.86	5.02	4.9399999999999995
12	8	14	6	6	6.05	6.24	6.145
12	13	28	186	186	15.24	15.43	15.335
12	8	27	188	188	22.43	22.62	22.525
12	11	26	248	248	12.71	12.87	12.79
12	13	19	251	251	11.58	11.75	11.665
12	10	6	89	89	8.46	8.65	8.555
12	11	31	139	139	15.75	15.93	15.84
12	8	30	60	60	6.13	6.3	6.215
12	3	19	136	136	17.49	17.66	17.575
12	19	12	198	198	10.62	10.8	10.71
12	25	12	138	138	8.65	8.81	8.73
12	11	5	88	88	7.8	7.96	7.88
13	3	33	114	114	5.63	5.8	5.715
13	11	21	138	138	15.36	15.53	15.445
13	16	18	163	163	18.46	18.63	18.545
13	16	24	232	232	7.41	7.58	7.495
13	23	9	132	132	10.79	10.99	10.89
13	15	28	216	216	20.61	20.81	20.71
13	5	4	149	149	8.89	9.06	8.975000000000001
13	9	23	133	133	13.02	13.18	13.1
13	8	16	181	181	11.41	11.6	11.504999999999999
13	7	30	207	207	7.1	7.27	7.185
13	18	25	32	32	14.39	14.57	14.48
13	10	13	220	220	9.4	9.58	9.49
13	17	33	159	159	8.77	8.93	8.85
13	12	5	110	110	5.6	5.78	5.6899999999999995
13	17	27	217	217	4.98	5.17	5.075
13	13	33	35	35	13.92	14.08	14.0
14	12	29	175	175	10.62	10.81	10.715
14	13	30	109	109	6.95	7.12	7.035
14	24	17	65	65	5.71	5.89	5.8
14	3	31	104	104	11.69	11.88	11.785
14	9	21	187	187	8.92	9.09	9.004999999999999
14	14	16	135	134	6.11	6.41	6.26
14	11	27	49	49	6.53	6.7	6.615
14	9	14	124	124	6.26	6.45	6.355
14	7	19	116	116	11.98	12.14	12.06
14	6	9	80	80	11.64	11.83	11.735
14	6	28	177	177	19.0	19.19	19.095
14	14	24	78	78	6.62	6.79	6.705
14	6	28	133	133	22.02	22.21	22.115000000000002
14	13	32	105	106	7.55	6.96	7.255
15	17	32	78	78	13.09	13.25	13.17
15	29	15	191	191	10.09	10.26	10.175
15	24	20	39	39	9.64	9.85	9.745000000000001
15	24	24	185	185	10.71	10.86	10.785
15	6	30	210	210	3.42	3.59	3.505
15	10	28	111	111	13.86	14.05	13.955
15	5	30	32	32	7.95	8.1	8.025
15	25	15	93	93	11.67	11.85	11.76
15	19	32	153	153	12.95	13.12	13.035
15	11	23	39	39	1.39	1.42	1.4049999999999998
15	4	18	155	155	3.28	3.45	3.365
15	4	22	194	194	17.72	17.91	17.814999999999998
15	19	1	241	242	8.38	8.57	8.475000000000001
15	32	4	92	92	20.01	20.18	20.095
15	8	30	34	34	9.02	9.19	9.105
16	5	26	194	194	10.07	10.76	10.415
16	16	27	148	148	29.09	29.27	29.18
16	3	30	244	244	9.21	9.39	9.3
16	12	28	188	188	8.47	8.67	8.57
16	23	15	159	159	6.91	7.09	7.0
16	16	26	150	150	8.78	8.95	8.864999999999998
16	12	15	81	81	12.46	12.65	12.555
16	17	27	83	83	20.45	20.64	20.545
16	4	27	151	151	3.53	3.71	3.62
16	7	17	56	56	4.24	4.4	4.32
16	7	30	228	228	10.69	10.86	10.774999999999999
16	16	5	171	171	12.25	12.4	12.325
16	18	15	222	222	1.99	2.18	2.085
16	13	16	157	157	9.4	9.58	9.49
16	4	16	26	25	6.5	6.77	6.635
16	7	32	7	8	13.05	13.2	13.125
16	34	22	51	51	14.23	14.43	14.33
17	4	31	165	165	9.12	9.29	9.204999999999998
17	14	5	31	31	7.91	8.08	7.995
17	4	21	19	19	11.52	11.69	11.605
17	19	19	0	0	9.99	10.15	10.07
17	8	26	119	119	16.17	16.34	16.255000000000003
17	9	5	109	109	13.75	13.91	13.83
17	3	20	151	151	15.38	15.59	15.485
17	17	27	91	91	17.35	17.53	17.44
17	8	10	107	107	12.46	12.64	12.55
17	16	14	237	237	11.0	11.19	11.094999999999999
17	6	14	149	149	7.95	8.14	8.045
17	8	30	158	158	13.6	13.77	13.684999999999999
17	3	30	85	86	12.06	12.24	12.15
17	28	5	164	164	6.59	6.73	6.66
18	5	16	29	29	9.12	9.29	9.204999999999998
18	11	1	228	229	8.75	8.94	8.844999999999999
18	21	7	193	193	10.6	10.78	10.69
18	23	12	48	48	19.35	19.52	19.435000000000002
18	7	8	157	157	26.77	26.97	26.869999999999997
18	26	25	64	64	4.02	4.2	4.109999999999999
18	9	32	246	246	6.43	6.58	6.505
18	17	16	103	103	13.43	13.63	13.530000000000001
18	12	22	115	115	5.03	5.23	5.130000000000001
18	14	21	112	112	10.79	10.97	10.879999999999999
18	4	20	79	79	11.04	11.25	11.145
18	11	31	171	171	18.46	18.64	18.55
18	11	14	182	182	6.2	6.38	6.29
18	7	27	111	111	6.14	6.32	6.23
18	3	28	14	14	8.78	8.99	8.885
18	23	9	245	245	13.97	14.17	14.07
18	3	22	242	242	12.1	12.3	12.2
18	4	15	195	195	9.9	10.08	9.99
18	13	0	52	52	24.71	24.88	24.795
18	5	10	183	183	5.48	5.65	5.565
19	17	12	238	238	12.49	12.66	12.575
19	4	29	45	45	6.53	6.71	6.62
19	7	18	19	19	10.21	10.38	10.295000000000002
19	16	31	177	177	8.03	8.21	8.120000000000001
19	13	33	200	200	14.87	15.07	14.969999999999999
19	11	31	114	114	14.07	14.24	14.155000000000001
19	25	22	109	109	4.66	4.86	4.76
19	6	25	85	85	10.53	10.69	10.61
19	19	28	172	172	13.91	14.11	14.01
19	18	26	132	132	6.27	6.45	6.359999999999999
20	27	27	88	88	16.2	16.36	16.28
20	18	2	237	237	9.89	10.07	9.98
20	14	28	114	114	3.58	3.78	3.6799999999999997
20	5	10	221	221	7.85	8.02	7.935
20	12	13	39	39	10.06	10.25	10.155000000000001
20	20	17	156	156	10.09	10.27	10.18
20	9	33	59	59	6.98	7.14	7.0600000000000005
20	31	22	11	11	12.17	12.36	12.265
20	5	29	51	51	8.26	8.43	8.344999999999999
20	6	30	56	56	6.36	6.53	6.445
20	3	23	172	172	10.38	10.55	10.465
20	5	21	100	100	9.22	9.37	9.295
20	12	3	195	195	11.91	12.1	12.004999999999999
20	3	29	167	167	8.93	9.12	9.024999999999999
20	11	10	48	48	4.26	4.45	4.355
20	8	24	7	7	7.96	8.12	8.04
21	7	19	192	192	14.67	14.84	14.754999999999999
21	16	29	119	119	2.2	2.38	2.29
21	5	2	223	223	7.63	7.8	7.715
21	22	12	120	120	14.11	14.28	14.195
21	6	28	30	30	17.21	17.4	17.305
21	7	3	193	193	12.25	12.44	12.344999999999999
21	19	12	240	240	9.73	9.9	9.815000000000001
21	5	28	7	7	7.86	8.04	7.949999999999999
21	10	8	134	134	12.79	12.97	12.879999999999999
21	6	5	204	204	6.05	6.22	6.135
21	10	29	80	80	12.82	13.0	12.91
21	18	30	64	64	13.75	13.93	13.84
21	15	33	135	135	8.15	8.31	8.23
21	6	22	240	240	7.43	7.62	7.525
21	8	29	65	66	8.49	8.67	8.58
21	17	14	132	132	5.96	6.15	6.055
21	12	4	39	39	11.31	11.49	11.4
22	3	24	7	7	6.76	6.93	6.845
22	3	19	28	28	9.1	9.27	9.184999999999999
22	16	18	250	250	29.25	29.42	29.335
22	10	29	42	42	11.05	11.23	11.14
22	9	5	180	180	14.28	14.44	14.36
22	4	29	205	205	9.2	9.38	9.29
22	22	5	54	54	9.08	9.24	9.16
22	16	19	2	2	13.2	13.37	13.285
22	31	10	216	216	8.04	8.21	8.125
22	5	31	75	75	8.46	8.63	8.545000000000002
22	4	32	161	161	12.39	12.55	12.47
22	4	9	247	247	6.77	6.97	6.869999999999999
22	4	28	135	136	3.96	4.16	4.0600000000000005
22	4	31	15	15	11.4	11.59	11.495000000000001
22	9	24	171	171	11.85	12.02	11.934999999999999
23	12	17	69	70	12.78	12.95	12.864999999999998
23	7	32	233	233	13.69	13.84	13.765
