readout	layer	chipID	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
0	1	3	16	12	226	226	10.67	10.89	10.780000000000001
0	1	3	17	11	230	231	3.28	3.49	3.385
0	1	3	32	13	226	226	17.51	17.72	17.615000000000002
0	1	2	15	18	48	48	6.58	6.77	6.675
0	1	2	29	32	116	116	9.17	9.39	9.280000000000001
0	1	1	31	6	102	102	7.94	8.12	8.03
0	1	2	20	21	128	128	10.5	10.69	10.594999999999999
0	1	2	12	14	137	137	5.74	5.96	5.85
0	1	2	18	27	175	175	4.8	4.99	4.895
0	1	2	9	13	233	233	11.1	11.31	11.205
0	1	0	23	29	38	38	22.47	22.65	22.56
0	1	0	12	13	111	111	13.99	14.18	14.085
0	1	2	30	4	139	139	3.11	3.28	3.195
0	1	2	9	25	35	35	7.5	7.68	7.59
0	1	2	21	24	31	31	7.71	7.92	7.8149999999999995
0	1	2	21	31	44	44	6.07	6.26	6.165
0	1	0	17	24	162	162	9.3	9.48	9.39
0	1	2	21	25	223	223	6.84	7.04	6.9399999999999995
0	1	2	11	20	219	219	2.2	2.42	2.31
0	1	2	25	27	58	59	6.25	6.39	6.32
0	1	2	25	19	97	97	6.75	6.93	6.84
0	1	2	18	3	48	48	4.75	4.97	4.859999999999999
0	1	2	25	24	40	40	7.53	7.73	7.630000000000001
0	1	2	7	19	192	192	10.62	10.8	10.71
0	1	2	21	14	251	251	10.29	10.52	10.405
0	1	2	7	27	240	240	8.49	8.67	8.58
0	1	2	9	29	236	236	6.73	6.9	6.815
0	1	2	8	28	180	180	3.83	3.99	3.91
0	1	2	18	4	103	103	6.52	6.72	6.619999999999999
0	1	2	32	16	188	188	5.84	5.87	5.855
0	1	2	10	18	197	197	15.63	15.82	15.725000000000001
0	1	2	11	17	197	198	7.15	7.37	7.26
0	1	2	5	31	224	224	8.88	9.06	8.97
0	1	2	16	26	209	209	9.45	9.66	9.555
0	1	2	22	21	147	147	8.04	8.22	8.129999999999999
0	1	2	29	4	80	80	4.43	4.61	4.52
0	1	0	29	33	179	180	11.15	11.33	11.24
0	1	3	6	0	243	243	11.99	12.25	12.120000000000001
0	1	2	21	16	31	31	7.65	7.84	7.745
0	1	3	3	22	133	133	6.73	6.92	6.825
0	1	2	13	23	178	178	6.62	6.81	6.715
0	1	3	11	32	128	129	10.07	10.28	10.175
0	1	2	3	21	243	243	9.17	9.34	9.254999999999999
0	1	2	16	26	255	255	10.21	10.42	10.315000000000001
0	1	2	29	24	179	179	4.45	4.66	4.555
0	1	2	15	24	42	42	12.93	13.13	13.030000000000001
0	1	2	27	3	148	148	7.91	8.13	8.02
0	1	2	33	16	186	186	9.52	9.7	9.61
0	1	2	32	0	99	99	5.75	5.94	5.845000000000001
0	1	2	30	15	224	224	9.83	10.05	9.940000000000001
0	1	2	32	23	9	9	2.84	3.03	2.9349999999999996
0	1	2	32	29	111	111	8.75	8.93	8.84
0	1	3	18	10	145	145	5.22	5.4	5.3100000000000005
0	1	2	5	7	30	30	6.55	6.73	6.640000000000001
0	1	0	30	32	2	2	11.53	11.72	11.625
0	1	2	11	24	72	72	7.26	7.46	7.359999999999999
0	1	2	24	0	98	98	10.74	10.95	10.844999999999999
0	1	2	24	3	48	48	8.08	8.3	8.190000000000001
0	1	2	28	20	253	253	9.74	9.94	9.84
0	1	2	10	17	186	186	8.79	9.0	8.895
0	1	3	20	1	165	165	11.22	11.45	11.335
0	1	2	32	27	86	86	3.34	3.52	3.4299999999999997
0	1	2	17	30	246	247	7.09	7.25	7.17
0	1	2	28	18	19	19	9.43	9.63	9.530000000000001
0	1	2	26	21	229	229	13.77	13.94	13.855
0	1	0	20	32	166	166	10.74	10.91	10.825
0	1	2	25	15	122	122	4.99	5.19	5.09
0	1	2	24	21	194	194	9.77	9.94	9.855
0	1	2	26	0	157	157	10.14	10.33	10.235
0	1	2	33	23	241	241	4.89	5.08	4.984999999999999
0	1	2	11	18	81	81	7.16	7.36	7.26
0	1	0	10	11	28	28	7.39	7.55	7.47
0	1	2	27	19	78	78	10.94	11.14	11.04
