readout	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
10	19	1	74	74	9.26	9.5	9.379999999999999
10	4	1	166	166	3.76	3.99	3.875
11	6	8	106	106	8.71	8.9	8.805
11	15	5	183	183	12.87	13.08	12.975
11	17	1	109	109	5.21	5.44	5.325
11	20	8	31	31	8.78	8.95	8.864999999999998
11	29	3	80	80	11.4	11.6	11.5
11	11	2	70	70	9.57	9.79	9.68
11	22	10	9	10	4.4	4.58	4.49
11	17	0	46	46	8.72	8.95	8.835
11	10	0	185	185	13.78	14.04	13.91
11	3	3	26	26	10.92	11.12	11.02
11	26	1	145	145	11.99	12.23	12.11
11	27	2	145	145	15.73	15.92	15.825
11	16	8	244	244	9.49	9.67	9.58
11	10	28	233	233	23.87	24.11	23.990000000000002
11	8	3	194	194	7.4	7.6	7.5
11	10	2	193	193	19.14	19.36	19.25
12	10	5	4	4	5.34	5.55	5.445
12	6	20	224	224	2.9	3.08	2.99
12	3	0	155	155	12.66	12.91	12.785
12	12	4	162	162	17.94	18.18	18.060000000000002
12	7	0	215	215	16.35	16.6	16.475
12	15	0	193	193	20.64	20.89	20.765
12	14	2	98	98	13.44	13.65	13.545
12	8	8	223	223	9.98	10.13	10.055
12	19	0	50	50	2.66	2.9	2.7800000000000002
12	22	2	177	177	15.45	15.67	15.559999999999999
12	15	13	192	192	15.13	15.36	15.245000000000001
12	3	3	9	9	16.71	16.91	16.810000000000002
13	14	31	105	105	9.83	10.06	9.945
13	13	0	120	120	19.63	20.1	19.865000000000002
13	8	1	218	218	11.12	11.35	11.235
13	3	3	222	222	11.97	12.17	12.07
13	9	30	103	103	19.03	19.22	19.125
13	14	5	174	174	5.98	6.18	6.08
13	7	32	79	79	10.79	11.0	10.895
13	27	10	79	79	7.53	7.7	7.615
13	13	6	197	197	5.41	5.61	5.51
13	16	7	196	196	12.65	12.88	12.765
13	4	1	48	48	6.7	6.93	6.8149999999999995
13	17	8	163	163	12.38	12.57	12.475000000000001
13	8	5	123	123	14.51	14.7	14.605
13	7	0	2	3	15.82	16.08	15.95
14	11	4	56	56	4.9	5.16	5.03
14	24	24	26	26	10.46	10.63	10.545000000000002
14	21	4	105	105	14.62	14.85	14.735
14	4	9	96	96	4.65	4.85	4.75
14	26	26	236	236	12.3	12.52	12.41
14	11	3	66	66	8.72	8.95	8.835
14	8	10	104	104	7.55	7.72	7.635
14	9	11	104	104	12.43	12.63	12.530000000000001
14	4	2	240	240	7.71	7.92	7.8149999999999995
15	4	3	22	22	18.37	18.59	18.48
15	3	0	141	141	13.76	14.0	13.879999999999999
15	6	4	207	207	14.1	14.35	14.225
15	6	0	30	30	14.89	15.13	15.010000000000002
15	6	3	217	217	11.01	11.23	11.120000000000001
15	3	7	142	142	18.07	18.31	18.189999999999998
15	23	3	70	70	13.53	13.76	13.645
15	9	1	48	48	7.23	7.45	7.34
15	10	0	50	50	18.48	18.74	18.61
15	12	1	250	250	11.03	11.27	11.149999999999999
15	20	25	199	199	13.35	13.55	13.45
15	9	12	65	65	6.29	6.48	6.385
15	10	10	134	134	6.34	6.5	6.42
15	10	22	228	228	5.88	6.09	5.984999999999999
15	20	1	198	198	13.25	13.46	13.355
15	9	1	141	141	5.0	5.23	5.115
15	28	31	182	182	7.0	7.23	7.115
16	18	23	210	210	6.55	6.77	6.66
16	6	9	50	50	13.48	13.69	13.585
16	15	15	132	132	9.48	9.68	9.58
16	17	0	157	157	16.17	16.4	16.285
16	10	3	63	63	7.81	8.03	7.92
16	15	6	133	134	5.34	5.55	5.445
16	9	0	4	4	16.95	17.19	17.07
16	17	4	195	195	11.91	12.14	12.025
16	18	2	195	195	8.08	8.31	8.195
16	15	4	114	114	9.53	9.78	9.655
16	9	0	253	253	18.96	19.19	19.075000000000003
17	28	4	96	97	8.91	9.14	9.025
17	7	20	6	6	10.87	11.05	10.96
