readout	layer	chipID	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
0	1	3	16	12	205	205	10.55	10.79	10.67
0	1	3	17	11	211	211	2.25	2.46	2.355
0	1	3	32	13	205	205	17.73	17.92	17.825000000000003
0	1	3	11	18	53	53	6.02	6.26	6.14
0	1	0	29	20	193	193	2.7	2.88	2.79
0	1	1	11	30	103	103	10.89	11.05	10.97
0	1	2	3	30	233	233	4.3	4.47	4.385
0	1	0	11	20	153	153	7.82	8.0	7.91
0	1	1	16	29	75	76	2.43	2.61	2.52
0	1	1	16	29	119	119	2.34	2.52	2.4299999999999997
0	1	2	21	24	35	35	11.96	12.17	12.065000000000001
0	1	1	16	29	91	91	2.53	2.71	2.62
0	1	1	25	31	176	177	2.58	2.78	2.6799999999999997
0	1	1	16	29	166	166	2.49	2.67	2.58
0	1	1	28	27	195	195	2.06	2.25	2.1550000000000002
0	1	3	12	16	121	121	13.92	14.14	14.030000000000001
0	1	2	33	25	254	254	5.42	5.61	5.515000000000001
0	1	1	16	29	234	234	1.98	2.16	2.0700000000000003
0	1	2	33	25	195	196	12.68	12.87	12.774999999999999
0	1	1	31	12	120	120	11.66	11.81	11.735
0	1	2	11	33	73	73	8.68	8.89	8.785
0	1	1	7	10	230	231	6.05	6.24	6.145
