readout	layer	chipID	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
0	1	2	3	16	197	197	8.87	9.05	8.96
0	1	1	5	25	255	255	10.43	10.59	10.51
0	1	2	20	27	153	153	18.4	18.6	18.5
0	1	2	20	29	120	120	5.06	5.26	5.16
0	1	2	21	1	23	23	4.38	4.61	4.495
0	1	0	28	32	86	86	6.03	6.22	6.125
0	1	2	7	2	42	43	4.18	4.41	4.295
0	1	2	32	18	246	246	5.79	5.97	5.88
0	1	2	24	18	56	56	8.78	8.98	8.879999999999999
0	1	2	17	2	19	20	6.56	6.77	6.664999999999999
0	1	2	21	32	43	44	7.26	7.81	7.535
0	1	3	8	26	200	201	7.35	7.56	7.455
0	1	2	7	13	242	243	6.65	6.86	6.755000000000001
0	1	3	10	3	212	212	6.14	6.37	6.255
0	1	2	27	24	19	19	14.8	15.01	14.905000000000001
0	1	2	22	31	247	247	6.8	6.99	6.895
0	1	2	13	12	225	225	3.65	3.85	3.75
0	1	2	26	14	224	224	7.17	7.39	7.279999999999999
0	1	2	29	19	226	226	6.53	6.72	6.625
0	1	2	24	16	20	20	8.06	8.25	8.155000000000001
0	1	2	10	20	150	150	8.21	8.43	8.32
0	1	2	27	27	97	97	3.5	3.68	3.59
0	1	1	22	29	138	138	12.8	12.99	12.895
0	1	3	8	25	201	201	18.02	18.21	18.115000000000002
0	1	2	27	20	176	176	6.39	6.61	6.5
0	1	2	28	21	217	217	8.67	8.85	8.76
0	1	2	30	19	255	255	4.47	4.66	4.5649999999999995
0	1	2	27	21	66	66	10.0	10.19	10.094999999999999
0	1	2	23	15	0	0	4.45	4.68	4.5649999999999995
0	1	3	30	1	130	130	7.38	7.6	7.49
0	1	2	29	19	163	163	7.54	7.73	7.635
0	1	2	22	16	130	130	5.26	5.44	5.35
0	1	2	20	23	222	222	7.98	8.19	8.085
0	1	2	11	22	16	16	12.95	13.15	13.05
1	1	2	21	24	236	236	8.82	9.03	8.925
1	1	3	7	16	200	200	12.51	12.75	12.629999999999999
1	1	3	16	33	97	97	7.42	7.63	7.525
1	1	2	11	16	209	209	14.46	14.65	14.555
1	1	2	20	27	244	244	15.9	16.09	15.995000000000001
1	1	2	19	21	128	128	7.51	7.69	7.6
1	1	2	30	17	56	56	11.08	11.3	11.190000000000001
1	1	2	4	14	28	28	2.85	3.07	2.96
1	1	2	5	13	25	25	4.35	4.56	4.455
1	1	2	3	18	216	216	4.95	5.13	5.04
1	1	0	11	26	183	183	8.07	8.25	8.16
1	1	3	8	22	227	227	3.53	3.72	3.625
1	1	3	9	20	225	225	4.36	4.52	4.4399999999999995
1	1	3	21	4	162	162	11.65	11.87	11.76
1	1	2	28	25	66	66	8.0	8.2	8.1
1	1	2	17	3	17	17	7.76	7.97	7.865
1	1	2	10	30	229	229	3.23	3.41	3.3200000000000003
1	1	2	4	30	227	227	8.01	8.19	8.1
1	1	2	26	32	178	178	9.98	10.19	10.085
