readout	layer	chipID	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us	fpga_ts_col	fpga_ts_row
0	1	0	29	26	192	192	3.66	3.84	3.75	47357570	47357430
0	1	0	3	33	97	97	5.30	5.46	5.38	60761398	60761258
0	1	0	7	33	67	67	1.88	2.04	1.96	61279734	61279594
0	1	0	25	24	213	213	2.56	2.73	2.65	61597835	61597695
0	1	0	17	23	249	249	3.08	3.25	3.17	62956472	62956332
0	1	2	28	17	161	161	3.11	3.33	3.22	62962898	62962758
0	1	0	10	22	104	104	3.20	3.35	3.28	63151401	63151261
0	1	2	31	27	29	30	3.83	4.02	3.92	63563603	63563463
0	1	2	11	16	121	121	2.38	2.58	2.48	63623586	63623446
0	1	2	11	0	239	239	3.60	3.80	3.70	64554530	64554390
0	1	2	19	18	246	246	3.47	3.67	3.57	64862502	64862362
0	1	2	12	10	56	56	3.23	3.45	3.34	65237100	65236960
0	1	0	3	25	95	95	3.14	3.32	3.23	65767454	65767314
0	1	2	18	1	57	57	6.45	6.69	6.57	66570634	66570494
0	1	2	17	15	117	117	4.78	5.00	4.89	69489074	69488934
0	1	2	22	6	51	51	2.28	2.47	2.38	69897307	69897167
0	1	2	25	17	57	57	2.18	2.39	2.29	70599518	70599378
0	1	2	23	15	117	117	2.45	2.69	2.57	71130013	71129873
0	1	2	19	14	185	185	2.90	3.13	3.01	71429865	71429725
0	1	2	4	6	18	18	2.60	2.80	2.70	71557944	71557804
0	1	0	20	21	198	198	6.38	6.54	6.46	71739167	71739027
0	1	2	8	18	174	174	5.66	5.84	5.75	72180727	72180587
0	1	2	25	15	225	225	2.12	2.32	2.22	72605704	72605564
0	1	2	20	6	132	133	5.66	5.85	5.75	73331149	73331009
0	1	2	32	26	55	55	2.41	2.60	2.50	73353311	73353171
0	1	2	17	1	196	196	4.17	4.39	4.28	73437437	73437297
0	1	2	4	12	98	99	2.08	2.26	2.17	74498693	74498553
0	1	2	29	17	98	98	3.63	3.85	3.74	74857912	74857492
0	1	1	15	31	219	219	3.34	3.53	3.43	74904532	74904392
0	1	2	23	19	191	191	4.43	4.63	4.53	75212287	75212147
0	1	2	26	14	79	79	2.70	2.92	2.81	75244921	75244781
0	1	1	26	27	21	21	5.31	5.51	5.41	75965472	75965332
0	1	2	5	1	253	253	4.22	4.44	4.33	76034618	76034478
0	1	0	24	29	89	89	6.84	7.01	6.92	76110911	76110771
0	1	0	31	30	255	255	5.74	5.92	5.83	76731349	76731209
0	1	1	12	16	239	239	6.09	6.27	6.18	77480965	77480825
0	1	2	27	21	79	79	3.02	3.21	3.12	77738362	77738222
0	1	2	16	24	184	184	2.36	2.56	2.46	78028512	78028372
0	1	2	33	14	62	62	2.45	2.67	2.56	79092071	79091931
0	1	2	21	30	96	96	7.20	7.38	7.29	79216314	79216174
0	1	2	29	0	75	76	4.80	5.00	4.90	79221389	79221249
0	1	2	31	26	141	142	3.41	3.61	3.51	79682241	79682101
0	1	2	15	25	78	79	2.31	2.51	2.41	80082039	80081899
0	1	0	16	20	187	187	7.45	7.64	7.54	80508325	80508185
0	1	2	23	25	160	160	9.25	9.48	9.37	80534029	80533889
0	1	2	25	6	184	184	3.07	3.26	3.17	81036516	81036376
0	1	2	26	21	22	22	3.42	3.59	3.50	81649478	81649338
0	1	2	11	12	29	29	6.12	6.31	6.21	81665389	81665249
0	1	1	22	19	125	125	4.35	4.53	4.44	81974397	81974257
0	1	2	21	28	79	79	1.85	2.02	1.94	82055793	82055653
0	1	2	30	25	217	217	4.58	4.77	4.67	82476311	82476171
0	1	0	11	26	253	253	4.21	4.39	4.30	82573765	82573625
0	1	1	25	3	103	103	4.39	4.58	4.48	83009641	83009501
0	1	0	5	33	140	141	5.37	5.55	5.46	83011167	83011027
0	1	0	17	28	228	228	5.95	6.14	6.04	83428290	83428150
0	1	0	16	27	54	54	8.21	8.38	8.30	83891130	83890850
0	1	0	18	28	55	55	5.82	5.99	5.91	83891270	83890990
0	1	3	3	13	75	75	3.70	3.90	3.80	84287162	84287022
0	1	2	14	29	180	180	3.11	3.29	3.20	84692196	84692056
0	1	2	33	29	226	226	2.85	3.04	2.95	85666574	85666434
0	1	2	18	4	46	46	2.85	3.04	2.95	86194521	86194381
0	1	2	22	5	63	63	3.34	3.53	3.43	87208303	87208163
0	1	2	25	26	56	56	2.74	2.94	2.84	87526502	87526362
0	1	2	27	18	45	45	8.75	8.95	8.85	87579793	87579653
0	1	0	23	25	10	11	12.42	12.63	12.53	87850280	87850140
0	1	2	33	3	82	82	3.18	3.38	3.28	88042885	88042745
0	1	2	17	26	172	172	4.51	4.71	4.61	88292841	88292701
0	1	2	27	26	122	122	2.84	3.06	2.95	88357542	88357402
0	1	2	29	14	58	58	2.60	2.82	2.71	88374629	88374489
0	1	2	21	25	248	248	4.36	4.55	4.46	88635190	88635050
0	1	2	5	28	42	42	7.18	7.34	7.26	88923009	88922869
0	1	2	7	2	122	122	2.55	2.77	2.66	89432483	89432343
0	1	2	28	20	192	192	3.98	4.18	4.08	89448184	89448044
0	1	2	30	23	79	79	4.47	4.67	4.57	89547913	89547773
0	1	2	10	7	72	72	6.09	6.29	6.19	89887896	89887756
0	1	2	16	27	172	172	5.21	5.41	5.31	90213872	90213732
0	1	2	16	26	136	136	5.89	6.10	5.99	90241235	90241095
0	1	3	6	32	72	72	4.37	4.58	4.47	90320314	90320174
0	1	2	20	31	159	159	2.87	3.07	2.97	90327244	90327104
0	1	2	21	1	67	67	3.28	3.50	3.39	90337142	90337002
0	1	2	29	22	135	135	4.24	4.45	4.35	90343743	90343603
0	1	2	13	9	189	189	5.66	5.87	5.77	90505219	90505079
0	1	0	6	21	192	192	6.26	6.42	6.34	90624414	90624274
0	1	1	7	20	163	163	8.57	8.78	8.68	90740173	90740033
0	1	2	24	0	75	75	4.17	4.37	4.27	91117697	91117557
0	1	2	27	17	105	105	6.61	6.85	6.73	91198141	91198001
0	1	2	26	15	9	9	9.63	9.83	9.73	91567993	91567853
0	1	2	28	18	193	193	4.61	4.79	4.70	91623937	91623797
0	1	0	5	25	202	202	6.34	6.53	6.44	91884715	91884575
0	1	2	12	29	172	172	2.19	2.38	2.29	92064209	92064069
0	1	2	30	21	182	182	2.85	3.02	2.94	92117983	92117843
0	1	2	22	30	157	157	4.72	4.91	4.81	92253916	92253776
0	1	2	13	7	175	175	11.34	11.53	11.43	92345140	92345000
0	1	2	24	6	246	247	5.46	5.65	5.55	92601662	92601522
0	1	2	21	17	136	136	3.74	3.95	3.85	92604609	92604469
0	1	2	15	14	32	32	3.67	3.90	3.79	92606807	92606667
0	1	2	23	15	230	229	1.64	1.51	1.57	92792839	67114359
0	1	2	28	14	118	118	4.76	4.97	4.87	92955827	92955687
0	1	2	22	21	136	136	2.99	2.70	2.85	93368246	90343463
0	1	2	4	2	117	117	5.64	5.85	5.74	93377059	93376919
0	1	0	11	33	194	194	1.99	2.17	2.08	93473652	93473512
0	1	2	29	16	141	141	3.30	3.49	3.40	93531073	93530933
0	1	0	24	31	58	58	11.76	11.92	11.84	93572394	93572114
0	1	2	14	18	187	187	3.29	3.47	3.38	93787882	93787742
