readout	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
37	24	32	196	196	4.325	4.41	4.3675
38	31	29	27	27	3.42	3.52	3.4699999999999998
38	28	17	194	194	8.065	8.155	8.11
38	31	22	150	150	4.605	4.69	4.647500000000001
38	33	26	155	155	5.765	5.85	5.807499999999999
39	28	33	166	166	6.67	6.76	6.715
39	29	21	1	1	2.43	2.515	2.4725
40	33	32	76	76	3.85	3.86	3.855
40	34	7	77	77	3.155	3.05	3.1025
40	27	27	40	40	2.83	2.91	2.87
40	31	24	110	110	5.24	5.34	5.29
41	5	29	217	217	9.145	9.24	9.192499999999999
41	3	31	18	18	3.82	3.905	3.8625
42	33	26	0	0	5.14	5.225	5.182499999999999
42	15	27	24	25	5.41	5.495	5.452500000000001
42	34	9	146	146	8.04	8.135	8.087499999999999
42	29	12	83	83	4.43	4.515	4.4725
43	29	3	100	100	7.06	7.13	7.095
43	30	6	100	100	6.94	7.02	6.98
43	22	30	220	220	2.69	2.775	2.7325
43	13	4	188	189	7.36	7.43	7.395
45	22	29	190	190	3.595	3.69	3.6425
45	28	27	183	183	2.44	2.53	2.485
45	24	31	241	241	2.37	2.46	2.415
46	22	25	211	211	4.365	4.46	4.4125
46	21	29	10	10	6.335	6.44	6.3875
47	28	6	9	9	2.0	2.08	2.04
47	28	33	34	34	2.025	2.11	2.0675
48	30	28	64	64	7.065	7.155	7.11
48	10	22	3	3	4.97	5.115	5.0425
48	4	32	212	212	3.645	3.72	3.6825
48	13	8	225	225	8.455	8.545	8.5
49	9	29	162	162	6.025	6.11	6.067500000000001
49	21	21	16	16	3.485	3.575	3.5300000000000002
50	20	32	154	154	8.215	8.305	8.26
50	31	26	116	116	3.48	3.57	3.525
50	29	29	253	253	6.565	6.645	6.605
51	34	17	80	80	3.905	3.995	3.95
51	27	24	55	56	3.0	3.095	3.0475000000000003
52	32	27	146	146	7.51	7.6	7.555
52	23	30	176	176	8.31	8.4	8.355
52	3	10	194	194	3.795	3.57	3.6825
52	20	19	41	41	3.145	3.235	3.19
53	21	18	204	204	4.82	4.92	4.87
53	11	31	191	191	3.33	3.415	3.3725
53	26	25	231	232	5.99	5.7	5.845000000000001
53	27	26	232	231	5.605	6.075	5.84
54	28	34	183	183	5.26	5.345	5.3025
54	26	24	16	16	11.025	11.125	11.075
54	27	23	16	16	6.76	6.84	6.8
55	29	26	119	119	5.685	5.77	5.727499999999999
55	28	28	155	155	8.025	8.095	8.06
55	21	31	233	233	5.115	5.21	5.1625
56	32	30	61	61	3.99	4.07	4.03
56	21	17	175	175	5.145	5.245	5.195
56	17	34	204	204	6.15	6.23	6.19
56	27	18	53	53	4.65	4.745	4.6975
56	31	26	41	41	4.025	4.12	4.0725
57	26	34	1	1	7.535	7.625	7.58
57	24	13	183	183	5.4	5.49	5.445
58	32	31	152	152	0.825	0.905	0.865
58	28	32	143	143	4.525	4.61	4.567500000000001
59	30	25	75	75	4.215	4.305	4.26
59	27	22	66	66	6.48	6.56	6.52
60	13	27	73	73	4.295	4.375	4.335
60	10	11	146	146	4.7	4.8	4.75
60	26	30	172	172	4.975	5.06	5.0175
60	33	26	93	93	9.27	9.355	9.3125
60	31	33	170	170	3.265	3.355	3.31
60	26	32	207	207	5.075	5.39	5.2325
60	27	33	207	208	7.37	7.405	7.3875
61	5	29	128	128	4.56	4.655	4.6075
61	28	20	12	12	12.68	12.77	12.725
62	20	28	24	24	4.93	5.02	4.975
62	34	31	98	98	3.125	3.22	3.1725000000000003
63	24	0	0	0	4.855	4.945	4.9
64	13	18	185	186	3.81	3.9	3.855
64	14	32	243	243	2.12	2.205	2.1625
65	32	23	172	172	5.32	5.4	5.36
65	20	15	168	168	2.315	2.41	2.3625
65	29	22	104	104	2.45	2.53	2.49
66	26	27	24	24	4.4	4.49	4.445
66	34	31	187	187	3.8	3.89	3.8449999999999998
67	32	24	54	54	4.34	4.435	4.387499999999999
67	23	24	24	24	3.73	3.835	3.7824999999999998
67	18	21	182	182	1.265	1.35	1.3075
68	31	34	30	30	5.425	5.51	5.467499999999999
68	31	32	108	108	4.885	4.97	4.9275
68	34	33	25	25	2.315	2.4	2.3575
68	28	29	13	13	7.59	7.685	7.637499999999999
69	34	27	74	74	2.845	2.935	2.89
69	14	10	187	188	10.035	10.135	10.085
69	32	31	63	63	1.84	1.925	1.8825
69	34	21	24	24	4.28	4.37	4.325
69	30	20	149	149	4.405	4.5	4.452500000000001
70	31	34	48	48	3.22	3.305	3.2625
70	23	29	20	20	4.365	4.47	4.4175
70	20	11	122	122	7.745	7.84	7.7925
70	13	20	37	37	6.98	7.07	7.025
70	23	34	41	41	4.43	4.515	4.4725
71	23	34	131	131	5.71	5.8	5.755
71	23	28	6	6	4.12	4.215	4.1675
71	24	29	6	6	4.575	4.68	4.6274999999999995
71	27	28	163	163	5.865	5.955	5.91
72	27	21	42	42	5.96	6.045	6.0024999999999995
72	34	32	222	222	3.595	3.69	3.6425
72	26	34	18	18	6.99	7.33	7.16
74	30	29	55	55	3.645	3.745	3.6950000000000003
74	18	14	99	99	4.23	4.325	4.2775
75	31	19	250	250	7.295	7.385	7.34
75	30	31	92	92	4.285	4.38	4.3325
75	10	13	231	231	5.855	5.95	5.9025
75	28	15	22	22	6.775	6.86	6.817500000000001
75	14	31	228	228	5.475	5.56	5.5175
75	30	28	165	165	6.975	7.07	7.0225
76	23	24	100	100	4.275	4.38	4.327500000000001
76	29	33	94	94	6.385	6.47	6.4275
76	34	27	52	52	5.51	5.595	5.5525
76	19	14	43	43	9.145	9.305	9.225
77	19	22	218	218	6.4	6.49	6.445
77	9	16	240	240	2.62	2.71	2.665
78	18	30	122	122	6.595	6.67	6.6325
78	30	34	134	135	3.72	3.75	3.7350000000000003
78	9	27	153	153	4.455	4.54	4.4975000000000005
79	24	23	190	191	5.835	5.92	5.8774999999999995
79	27	8	162	162	4.34	4.43	4.385
79	34	19	212	212	3.02	3.1	3.06
79	20	22	159	159	10.46	10.545	10.502500000000001
79	25	26	71	71	7.02	7.105	7.0625
79	32	29	39	39	3.695	3.795	3.745
79	34	15	1	2	12.235	12.32	12.2775
79	34	32	186	186	2.38	2.47	2.425
80	23	34	73	74	9.37	9.46	9.415
80	28	22	74	74	4.045	4.125	4.085
81	18	26	50	50	9.215	9.305	9.26
81	21	24	167	167	6.455	6.56	6.5075
81	23	26	143	143	8.04	8.13	8.085
81	21	5	17	17	8.56	8.655	8.6075
82	33	31	10	10	4.68	4.77	4.725
82	12	9	148	148	2.305	2.4	2.3525
82	18	17	147	147	5.26	5.36	5.3100000000000005
82	32	28	85	85	5.02	5.11	5.0649999999999995
82	34	34	70	70	5.395	5.48	5.4375
83	16	17	218	218	6.81	6.905	6.8575
83	21	26	23	23	5.19	5.28	5.235
83	30	34	27	27	3.89	3.98	3.935
83	31	25	46	46	5.27	5.365	5.3175
84	31	33	11	11	4.625	4.715	4.67
84	29	31	59	59	3.955	4.115	4.035
84	18	31	183	183	4.325	4.41	4.3675
84	19	28	183	183	5.67	5.76	5.715
85	18	28	148	148	1.955	2.04	1.9975
85	28	33	158	158	3.13	3.215	3.1725
85	20	32	144	144	3.935	4.03	3.9825
86	17	34	44	44	4.65	4.73	4.69
86	22	20	140	140	4.255	4.355	4.305
86	25	26	137	137	5.775	5.865	5.82
86	30	8	249	249	2.85	2.945	2.8975
88	20	22	16	16	4.455	4.545	4.5
88	34	15	46	46	10.245	10.33	10.2875
90	25	32	17	17	7.455	7.545	7.5
90	20	22	13	13	4.52	4.605	4.5625
90	22	22	43	43	10.335	10.415	10.375
91	30	34	21	21	3.455	3.545	3.5
91	28	34	193	193	6.935	7.015	6.975
91	34	31	169	169	5.565	5.655	5.61
92	9	10	38	38	4.685	4.785	4.734999999999999
93	31	4	89	89	9.4	9.49	9.445
93	19	15	89	89	4.31	4.4	4.355
93	34	32	224	224	4.49	4.585	4.5375
93	23	25	17	17	4.385	4.485	4.4350000000000005
94	15	6	146	146	4.24	4.325	4.282500000000001
95	22	33	101	101	9.12	9.205	9.1625
95	34	34	155	155	4.545	4.62	4.5825
96	13	23	24	24	6.11	6.185	6.1475
97	5	31	145	145	11.41	11.49	11.45
97	25	30	1	1	4.99	5.075	5.032500000000001
98	31	34	121	121	2.945	3.035	2.99
98	32	34	153	153	7.37	7.46	7.415
99	27	20	165	165	4.815	4.905	4.86
99	29	19	144	144	5.61	5.695	5.6525
99	30	20	145	145	5.13	5.225	5.1775
99	29	34	54	54	5.39	5.475	5.432499999999999
99	28	13	167	167	8.23	8.31	8.27
99	29	18	130	130	5.11	5.6	5.355
99	30	19	130	130	5.505	5.195	5.35
99	23	34	111	112	9.29	9.375	9.3325
100	20	16	73	73	5.665	5.755	5.71
100	27	29	103	103	2.26	2.36	2.3099999999999996
100	20	13	175	175	4.275	4.365	4.32
100	27	28	77	77	7.095	7.185	7.14
100	26	26	91	91	7.51	7.59	7.55
101	20	33	238	238	4.9	4.985	4.942500000000001
101	30	33	126	126	4.775	4.865	4.82
101	32	17	67	67	3.265	3.355	3.31
101	30	30	236	236	2.245	2.32	2.2824999999999998
102	29	33	229	229	6.88	6.965	6.922499999999999
102	31	31	102	102	6.485	6.56	6.5225
102	21	32	1	1	3.875	3.965	3.92
103	29	18	28	28	4.98	5.075	5.0275
103	32	32	44	44	4.315	4.395	4.355
103	32	18	86	86	6.615	6.715	6.665
103	30	22	136	136	4.0	4.085	4.0425
103	22	21	9	9	2.44	2.53	2.485
104	18	30	4	4	7.855	7.935	7.895
104	29	12	255	255	6.805	6.885	6.845
104	29	32	143	143	3.42	3.505	3.4625
104	30	33	143	143	3.755	3.845	3.8
104	27	20	205	205	4.325	4.42	4.3725000000000005
105	21	32	1	1	3.04	3.13	3.085
105	20	29	91	91	2.59	2.69	2.6399999999999997
105	28	4	10	10	3.17	3.255	3.2125
106	33	20	30	30	4.61	4.71	4.66
106	26	31	3	3	5.59	5.685	5.637499999999999
106	5	4	252	252	4.805	4.895	4.85
106	14	5	164	164	6.36	6.425	6.3925
107	32	32	181	181	3.405	3.485	3.445
107	10	30	15	15	3.59	3.675	3.6325
108	25	22	151	151	4.87	4.955	4.9125
109	33	17	153	153	4.415	4.51	4.4625
110	10	16	121	121	4.505	4.59	4.547499999999999
110	28	16	126	126	5.84	5.925	5.8825
110	11	20	198	198	5.215	5.31	5.262499999999999
110	22	27	138	138	4.295	4.385	4.34
110	29	7	64	64	4.365	4.45	4.407500000000001
111	33	10	23	23	4.535	4.635	4.585
111	26	16	168	168	11.585	11.675	11.63
111	22	32	44	44	4.81	4.895	4.852499999999999
112	26	16	240	240	2.19	2.28	2.235
113	26	26	217	217	8.87	8.95	8.91
114	32	24	209	209	4.06	4.16	4.109999999999999
115	26	29	57	57	6.095	6.2	6.1475
115	30	25	77	77	3.595	3.685	3.64
116	12	31	223	223	5.35	5.44	5.395
116	14	32	223	223	4.11	4.195	4.1525
117	29	23	122	122	4.72	4.8	4.76
117	3	20	235	235	5.835	5.93	5.8825
117	30	20	157	157	8.375	8.47	8.4225
118	34	28	97	97	3.175	3.26	3.2175
118	15	34	119	119	6.705	6.785	6.745
119	21	28	107	107	3.88	3.975	3.9275
119	33	29	24	24	11.895	11.995	11.945
119	24	33	29	29	5.315	5.405	5.36
120	28	33	46	46	5.35	5.435	5.3925
121	8	26	137	137	6.94	7.02	6.98
121	6	24	254	253	3.98	4.185	4.0825
121	16	33	228	228	4.32	4.405	4.362500000000001
121	23	25	91	91	7.76	7.855	7.8075
121	24	26	92	92	5.055	5.14	5.0975
121	30	21	245	245	3.835	3.605	3.7199999999999998
122	24	23	253	253	4.055	4.14	4.0975
122	16	30	207	207	2.215	2.3	2.2575
122	15	28	206	206	7.31	7.395	7.352499999999999
122	21	20	96	96	5.595	5.7	5.6475
123	34	30	11	11	5.835	5.915	5.875
123	25	34	140	140	2.01	2.095	2.0525
123	13	20	192	192	7.31	7.4	7.355
123	32	34	115	115	8.79	8.875	8.8325
124	29	25	83	83	9.325	9.41	9.3675
124	30	33	42	41	5.0	5.15	5.075
124	22	19	112	112	8.775	8.865	8.82
124	23	29	208	208	3.735	3.835	3.785
